o_zone_id,d_zone_id,volume
2400,2400,48.7
2400,2401,0.5
2400,2402,3.55
2400,3723,12.38
2400,3724,30.22
2400,3725,11.65
2400,3726,33.04
2401,2400,0.5
2401,2401,2.02
2401,2402,1.07
2401,3723,1.74
2401,3724,3.49
2401,3725,2.82
2401,3726,3.12
2402,2400,3.5
2402,2401,1.08
2402,2402,31.95
2402,3723,7.15
2402,3724,39.26
2402,3725,11.17
2402,3726,15.16
3723,2400,10.54
3723,2401,1.48
3723,2402,6.16
3723,3724,50.7
3723,3725,89.61
3723,3726,17.28
3724,2400,26.64
3724,2402,33.63
3724,3723,54.33
3724,3726,17.27
3725,2400,12.68
3725,2401,6.29
3725,2402,12.16
3725,3723,108.92
3725,3726,56.06
3726,2400,28.47
3726,2401,2.5
3726,2402,15.55
3726,3723,19.91
3726,3724,21.11
3726,3725,43.71
o_zone_id,d_zone_id,volume
2400,2400,48.7
2400,2401,0.5
2400,2402,3.55
2400,3723,12.38
2400,3724,30.22
2400,3725,11.65
2400,3726,33.04
2401,2400,0.5
2401,2401,2.02
2401,2402,1.07
2401,3723,1.74
2401,3724,3.49
2401,3725,2.82
2401,3726,3.12
2402,2400,3.5
2402,2401,1.08
2402,2402,31.95
2402,3723,7.15
2402,3724,39.26
2402,3725,11.17
2402,3726,15.16
3723,2400,10.54
3723,2401,1.48
3723,2402,6.16
3723,3724,50.7
3723,3725,89.61
3723,3726,17.28
3724,2400,26.64
3724,2402,33.63
3724,3723,54.33
3724,3726,17.27
3725,2400,12.68
3725,2401,6.29
3725,2402,12.16
3725,3723,108.92
3725,3726,56.06
3726,2400,28.47
3726,2401,2.5
3726,2402,15.55
3726,3723,19.91
3726,3724,21.11
3726,3725,43.71
o_zone_id,d_zone_id,volume
2400,2400,48.7
2400,2401,0.5
2400,2402,3.55
2400,3723,12.38
2400,3724,30.22
2400,3725,11.65
2400,3726,33.04
2401,2400,0.5
2401,2401,2.02
2401,2402,1.07
2401,3723,1.74
2401,3724,3.49
2401,3725,2.82
2401,3726,3.12
2402,2400,3.5
2402,2401,1.08
2402,2402,31.95
2402,3723,7.15
2402,3724,39.26
2402,3725,11.17
2402,3726,15.16
3723,2400,10.54
3723,2401,1.48
3723,2402,6.16
3723,3724,50.7
3723,3725,89.61
3723,3726,17.28
3724,2400,26.64
3724,2402,33.63
3724,3723,54.33
3724,3726,17.27
3725,2400,12.68
3725,2401,6.29
3725,2402,12.16
3725,3723,108.92
3725,3726,56.06
3726,2400,28.47
3726,2401,2.5
3726,2402,15.55
3726,3723,19.91
3726,3724,21.11
3726,3725,43.71
