link_id,link_no,layer_no,from_node_id,to_node_id,from_gate_flag,to_gate_flag,link_type,link_type_name,link_type_code,lanes,link_distance_mile,link_distance_km,free_speed_mph,free_speed_kmph,cutoff_speed_mph,cutoff_speed_kmph,fftt_min,capacity, BPR_alpha,BPR_beta,VDF_preload_pm,restricted_turn_nodes_pm,VDF_toll_pm_apv,VDF_toll_pm_com,VDF_toll_pm_hov2,VDF_toll_pm_hov3,VDF_toll_pm_sov,VDF_toll_pm_trk,demand_period_internal_0,allow_uses_pm,QVDF_plf_pm,QVDF_alpha_pm,QVDF_beta_pm,QVDF_cd_pm,QVDF_n_pm,QVDF_s_pm,geometry,
17,16,0,38489,38488,-1,-1,50400,,a,1.000000,0.880186,1.416219,40.000000,64.360000,54.706002,88.021957,1.320279,800.000000,0.150000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.182982,4.490264,1.001943,1.181083,4.000000,"LINESTRING (-77.607979 38.937693, -77.624237 38.936613)",
18,17,0,38489,38490,-1,-1,50400,,a,1.000000,0.100021,0.160934,40.000000,64.360000,54.706002,88.021957,0.150032,800.000000,0.150000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.182982,4.490264,1.001943,1.181083,4.000000,"LINESTRING (-77.607979 38.937693, -77.606145 38.937861)",
19,18,0,38490,3726,-1,-1,50400,,a,1.000000,1.000211,1.609340,40.000000,64.360000,54.706002,88.021957,1.500317,800.000000,0.150000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.182982,4.490264,1.001943,1.181083,4.000000,"LINESTRING (-77.606145 38.937861, -77.590441 38.930341)",
20,19,0,38490,38489,-1,-1,50400,,a,1.000000,0.100021,0.160934,40.000000,64.360000,54.706002,88.021957,0.150032,800.000000,0.150000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.182982,4.490264,1.001943,1.181083,4.000000,"LINESTRING (-77.606145 38.937861, -77.607979 38.937693)",
21,20,0,38490,38491,-1,-1,50400,,a,1.000000,1.540325,2.478384,40.000000,64.360000,54.706002,88.021957,2.310488,800.000000,0.150000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.182982,4.490264,1.001943,1.181083,4.000000,"LINESTRING (-77.606145 38.937861, -77.584346 38.947135)",
22,21,0,38490,55001,-1,-1,50400,,a,1.000000,0.550316,0.885459,40.000000,64.360000,54.706002,88.021957,0.825474,800.000000,0.150000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.182982,4.490264,1.001943,1.181083,4.000000,"LINESTRING (-77.606145 38.937861, -77.611957 38.944155)",
23,22,0,38491,2402,-1,-1,50000,,c,7.000000,0.900640,1.449130,35.000000,56.315000,47.867751,77.019211,1.543955,3150.000000,0.150000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.182982,4.490264,1.001943,1.181083,4.000000,"LINESTRING (-77.584346 38.947135, -77.600503 38.950677)",
24,23,0,38491,3724,-1,-1,50400,,a,1.000000,0.510108,0.820763,40.000000,64.360000,54.706002,88.021957,0.765162,800.000000,0.150000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.182982,4.490264,1.001943,1.181083,4.000000,"LINESTRING (-77.584346 38.947135, -77.580048 38.953013)",
25,24,0,38491,38490,-1,-1,50400,,a,1.000000,1.540325,2.478384,40.000000,64.360000,54.706002,88.021957,2.310488,800.000000,0.150000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.182982,4.490264,1.001943,1.181083,4.000000,"LINESTRING (-77.584346 38.947135, -77.606145 38.937861)",
26,25,0,55001,2402,-1,-1,50000,,c,7.000000,0.780975,1.256589,35.000000,56.315000,47.867751,77.019211,1.338814,3150.000000,0.150000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.182982,4.490264,1.001943,1.181083,4.000000,"LINESTRING (-77.611957 38.944155, -77.600503 38.950677)",
