link_seq_id,link_id,base_s0_link_type,from_node_id,to_node_id,geometry,distance_km,distance_mile,fftt,free_speed_base_mode,link_specific_speed_diff,capacity_base_mode,link_specific_capacity_diff,meso_link_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,lanes_s0,link_type_s0,free_speed_s0,capacity_s0,lanes_p1_s0_apv,lanes_p1_s0_com,lanes_p1_s0_hov2,lanes_p1_s0_hov3,lanes_p1_s0_sov,lanes_p1_s0_trk,VOL_p1_s0_apv,VOL_p1_s0_com,VOL_p1_s0_hov2,VOL_p1_s0_hov3,VOL_p1_s0_sov,VOL_p1_s0_trk,MEU_p1_s0_apv,MEU_p1_s0_com,MEU_p1_s0_hov2,MEU_p1_s0_hov3,MEU_p1_s0_sov,MEU_p1_s0_trk,CAP_p1_s0_apv,CAP_p1_s0_com,CAP_p1_s0_hov2,CAP_p1_s0_hov3,CAP_p1_s0_sov,CAP_p1_s0_trk,PEN_p1_s0_apv,PEN_p1_s0_com,PEN_p1_s0_hov2,PEN_p1_s0_hov3,PEN_p1_s0_sov,PEN_p1_s0_trk,DOC_p1_s0_apv,DOC_p1_s0_com,DOC_p1_s0_hov2,DOC_p1_s0_hov3,DOC_p1_s0_sov,DOC_p1_s0_trk,TT_p1_s0_apv,TT_p1_s0_com,TT_p1_s0_hov2,TT_p1_s0_hov3,TT_p1_s0_sov,TT_p1_s0_trk,CO2_p1_s0_apv,CO2_p1_s0_com,CO2_p1_s0_hov2,CO2_p1_s0_hov3,CO2_p1_s0_sov,CO2_p1_s0_trk,NOX_p1_s0_apv,NOX_p1_s0_com,NOX_p1_s0_hov2,NOX_p1_s0_hov3,NOX_p1_s0_sov,NOX_p1_s0_trk,VOL_pm_scenario_pm_apv,MEU_pm_scenario_pm_apv,CAP_pm_scenario_pm_apv,PEN_pm_scenario_pm_apv,DOC_pm_scenario_pm_apv,TT_pm_scenario_pm_apv,CO2_pm_scenario_pm_apv,NOX_pm_scenario_pm_apv,VOL_pm_scenario_pm_com,MEU_pm_scenario_pm_com,CAP_pm_scenario_pm_com,PEN_pm_scenario_pm_com,DOC_pm_scenario_pm_com,TT_pm_scenario_pm_com,CO2_pm_scenario_pm_com,NOX_pm_scenario_pm_com,VOL_pm_scenario_pm_hov2,MEU_pm_scenario_pm_hov2,CAP_pm_scenario_pm_hov2,PEN_pm_scenario_pm_hov2,DOC_pm_scenario_pm_hov2,TT_pm_scenario_pm_hov2,CO2_pm_scenario_pm_hov2,NOX_pm_scenario_pm_hov2,VOL_pm_scenario_pm_hov3,MEU_pm_scenario_pm_hov3,CAP_pm_scenario_pm_hov3,PEN_pm_scenario_pm_hov3,DOC_pm_scenario_pm_hov3,TT_pm_scenario_pm_hov3,CO2_pm_scenario_pm_hov3,NOX_pm_scenario_pm_hov3,VOL_pm_scenario_pm_sov,MEU_pm_scenario_pm_sov,CAP_pm_scenario_pm_sov,PEN_pm_scenario_pm_sov,DOC_pm_scenario_pm_sov,TT_pm_scenario_pm_sov,CO2_pm_scenario_pm_sov,NOX_pm_scenario_pm_sov,VOL_pm_scenario_pm_trk,MEU_pm_scenario_pm_trk,CAP_pm_scenario_pm_trk,PEN_pm_scenario_pm_trk,DOC_pm_scenario_pm_trk,TT_pm_scenario_pm_trk,CO2_pm_scenario_pm_trk,NOX_pm_scenario_pm_trk,
11,11,Minor Arterial,38112,38488,"LINESTRING (-77.622328 38.955522, -77.624237 38.936613)",2.108235,1.310277,1.511858,83.668000,0.000000,900.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Minor Arterial,83.7,900.0,1.0,1.0,1.0,1.0,1.0,1.0,3.9,1304.8,820.8,247.2,4882.7,458.0,3.9,1304.8,820.8,247.2,4882.7,916.1,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0839,0.0000,0.0000,0.0000,0.0000,0.0000,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,3.9,900.000,0.000,9.0839,90.000,0.000,0.000,1304.8,1304.8,0.000,0.000,0.0000,0.000,0.000,0.000,820.8,820.8,0.000,0.000,0.0000,0.000,0.000,0.000,247.2,247.2,0.000,0.000,0.0000,0.000,0.000,0.000,4882.7,4882.7,0.000,0.000,0.0000,0.000,0.000,0.000,458.0,916.1,0.000,0.000,0.0000,0.000,0.000,0.000,
12,12,Collector,38112,55001,"LINESTRING (-77.622328 38.955522, -77.611957 38.944155)",1.592522,0.989759,1.484639,64.360000,0.000000,800.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Collector,64.4,800.0,1.0,1.0,1.0,1.0,1.0,1.0,8.1,440.5,566.3,309.2,2366.3,240.5,8.1,440.5,566.3,309.2,2366.3,481.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2144,0.0000,0.0000,0.0000,0.0000,0.0000,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,8.1,800.000,0.000,5.2144,90.000,0.000,0.000,440.5,440.5,0.000,0.000,0.0000,0.000,0.000,0.000,566.3,566.3,0.000,0.000,0.0000,0.000,0.000,0.000,309.2,309.2,0.000,0.000,0.0000,0.000,0.000,0.000,2366.3,2366.3,0.000,0.000,0.0000,0.000,0.000,0.000,240.5,481.0,0.000,0.000,0.0000,0.000,0.000,0.000,
13,13,Minor Arterial,38488,3723,"LINESTRING (-77.624237 38.936613, -77.625038 38.931782)",0.547176,0.340072,0.392391,83.668000,0.000000,900.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Minor Arterial,83.7,900.0,1.0,1.0,1.0,1.0,1.0,1.0,38.6,2210.4,1760.2,501.3,10146.2,836.2,38.6,2210.4,1760.2,501.3,10146.2,1672.3,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9900,0.0000,0.0000,0.0000,0.0000,0.0000,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.6,38.6,900.000,0.000,9.9900,90.000,0.000,0.000,2210.4,2210.4,0.000,0.000,0.0000,0.000,0.000,0.000,1760.2,1760.2,0.000,0.000,0.0000,0.000,0.000,0.000,501.3,501.3,0.000,0.000,0.0000,0.000,0.000,0.000,10146.2,10146.2,0.000,0.000,0.0000,0.000,0.000,0.000,836.2,1672.3,0.000,0.000,0.0000,0.000,0.000,0.000,
14,14,Minor Arterial,38488,38112,"LINESTRING (-77.624237 38.936613, -77.622328 38.955522)",2.108235,1.310277,1.511858,83.668000,0.000000,900.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Minor Arterial,83.7,900.0,1.0,1.0,1.0,1.0,1.0,1.0,3.9,1158.4,821.9,387.2,5669.7,472.6,3.9,1158.4,821.9,387.2,5669.7,945.1,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9847,0.0000,0.0000,0.0000,0.0000,0.0000,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,3.9,900.000,0.000,9.9847,90.000,0.000,0.000,1158.4,1158.4,0.000,0.000,0.0000,0.000,0.000,0.000,821.9,821.9,0.000,0.000,0.0000,0.000,0.000,0.000,387.2,387.2,0.000,0.000,0.0000,0.000,0.000,0.000,5669.7,5669.7,0.000,0.000,0.0000,0.000,0.000,0.000,472.6,945.1,0.000,0.000,0.0000,0.000,0.000,0.000,
15,15,Collector,38488,38489,"LINESTRING (-77.624237 38.936613, -77.607979 38.937693)",1.416219,0.880186,1.320279,64.360000,0.000000,800.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Collector,64.4,800.0,1.0,1.0,1.0,1.0,1.0,1.0,35.3,776.3,834.5,464.0,3500.4,330.8,35.3,776.3,834.5,464.0,3500.4,661.5,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8401,0.0000,0.0000,0.0000,0.0000,0.0000,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.3,35.3,800.000,0.000,7.8401,90.000,0.000,0.000,776.3,776.3,0.000,0.000,0.0000,0.000,0.000,0.000,834.5,834.5,0.000,0.000,0.0000,0.000,0.000,0.000,464.0,464.0,0.000,0.000,0.0000,0.000,0.000,0.000,3500.4,3500.4,0.000,0.000,0.0000,0.000,0.000,0.000,330.8,661.5,0.000,0.000,0.0000,0.000,0.000,0.000,
16,16,Centroids,38489,2400,"LINESTRING (-77.607979 38.937693, -77.593115 38.916173)",2.719785,1.690357,2.897755,56.315000,0.000000,3150.000000,0.000000,-1,,network_wide,-1,0,-1,-1,7.0,Centroids,56.3,3150.0,7.0,7.0,7.0,7.0,7.0,7.0,20.5,261.2,672.3,357.8,3612.3,143.7,20.5,261.2,672.3,357.8,3612.3,287.4,22050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2363,0.0000,0.0000,0.0000,0.0000,0.0000,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,20.5,22050.000,0.000,0.2363,2.897,0.000,0.000,261.2,261.2,0.000,0.000,0.0000,0.000,0.000,0.000,672.3,672.3,0.000,0.000,0.0000,0.000,0.000,0.000,357.8,357.8,0.000,0.000,0.0000,0.000,0.000,0.000,3612.3,3612.3,0.000,0.000,0.0000,0.000,0.000,0.000,143.7,287.4,0.000,0.000,0.0000,0.000,0.000,0.000,
17,17,Collector,38489,38488,"LINESTRING (-77.607979 38.937693, -77.624237 38.936613)",1.416219,0.880186,1.320279,64.360000,0.000000,800.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Collector,64.4,800.0,1.0,1.0,1.0,1.0,1.0,1.0,34.7,995.0,1127.4,347.5,5892.0,417.8,34.7,995.0,1127.4,347.5,5892.0,835.7,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9900,0.0000,0.0000,0.0000,0.0000,0.0000,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.7,34.7,800.000,0.000,9.9900,90.000,0.000,0.000,995.0,995.0,0.000,0.000,0.0000,0.000,0.000,0.000,1127.4,1127.4,0.000,0.000,0.0000,0.000,0.000,0.000,347.5,347.5,0.000,0.000,0.0000,0.000,0.000,0.000,5892.0,5892.0,0.000,0.000,0.0000,0.000,0.000,0.000,417.8,835.7,0.000,0.000,0.0000,0.000,0.000,0.000,
18,18,Collector,38489,38490,"LINESTRING (-77.607979 38.937693, -77.606145 38.937861)",0.160934,0.100021,0.150032,64.360000,0.000000,800.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Collector,64.4,800.0,1.0,1.0,1.0,1.0,1.0,1.0,55.8,863.6,1120.6,611.0,4305.2,361.0,55.8,863.6,1120.6,611.0,4305.2,722.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5978,0.0000,0.0000,0.0000,0.0000,0.0000,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.8,55.8,800.000,0.000,9.5978,90.000,0.000,0.000,863.6,863.6,0.000,0.000,0.0000,0.000,0.000,0.000,1120.6,1120.6,0.000,0.000,0.0000,0.000,0.000,0.000,611.0,611.0,0.000,0.000,0.0000,0.000,0.000,0.000,4305.2,4305.2,0.000,0.000,0.0000,0.000,0.000,0.000,361.0,722.0,0.000,0.000,0.0000,0.000,0.000,0.000,
19,19,Collector,38490,3726,"LINESTRING (-77.606145 38.937861, -77.590441 38.930341)",1.609340,1.000211,1.500317,64.360000,0.000000,800.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Collector,64.4,800.0,1.0,1.0,1.0,1.0,1.0,1.0,4.6,633.6,1104.6,593.6,4219.3,338.3,4.6,633.6,1104.6,593.6,4219.3,676.6,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0404,0.0000,0.0000,0.0000,0.0000,0.0000,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,4.6,800.000,0.000,9.0404,90.000,0.000,0.000,633.6,633.6,0.000,0.000,0.0000,0.000,0.000,0.000,1104.6,1104.6,0.000,0.000,0.0000,0.000,0.000,0.000,593.6,593.6,0.000,0.000,0.0000,0.000,0.000,0.000,4219.3,4219.3,0.000,0.000,0.0000,0.000,0.000,0.000,338.3,676.6,0.000,0.000,0.0000,0.000,0.000,0.000,
20,20,Collector,38490,38489,"LINESTRING (-77.606145 38.937861, -77.607979 38.937693)",0.160934,0.100021,0.150032,64.360000,0.000000,800.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Collector,64.4,800.0,1.0,1.0,1.0,1.0,1.0,1.0,55.2,1079.0,1441.4,546.5,8145.3,448.8,55.2,1079.0,1441.4,546.5,8145.3,897.7,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9900,0.0000,0.0000,0.0000,0.0000,0.0000,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.2,55.2,800.000,0.000,9.9900,90.000,0.000,0.000,1079.0,1079.0,0.000,0.000,0.0000,0.000,0.000,0.000,1441.4,1441.4,0.000,0.000,0.0000,0.000,0.000,0.000,546.5,546.5,0.000,0.000,0.0000,0.000,0.000,0.000,8145.3,8145.3,0.000,0.000,0.0000,0.000,0.000,0.000,448.8,897.7,0.000,0.000,0.0000,0.000,0.000,0.000,
21,21,Collector,38490,38491,"LINESTRING (-77.606145 38.937861, -77.584346 38.947135)",2.478384,1.540325,2.310488,64.360000,0.000000,800.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Collector,64.4,800.0,1.0,1.0,1.0,1.0,1.0,1.0,60.6,799.5,1053.7,597.5,3902.8,336.2,60.6,799.5,1053.7,597.5,3902.8,672.4,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8581,0.0000,0.0000,0.0000,0.0000,0.0000,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.6,60.6,800.000,0.000,8.8581,90.000,0.000,0.000,799.5,799.5,0.000,0.000,0.0000,0.000,0.000,0.000,1053.7,1053.7,0.000,0.000,0.0000,0.000,0.000,0.000,597.5,597.5,0.000,0.000,0.0000,0.000,0.000,0.000,3902.8,3902.8,0.000,0.000,0.0000,0.000,0.000,0.000,336.2,672.4,0.000,0.000,0.0000,0.000,0.000,0.000,
22,22,Collector,38490,55001,"LINESTRING (-77.606145 38.937861, -77.611957 38.944155)",0.885459,0.550316,0.825474,64.360000,0.000000,800.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Collector,64.4,800.0,1.0,1.0,1.0,1.0,1.0,1.0,3.9,366.9,616.2,275.4,3253.4,202.0,3.9,366.9,616.2,275.4,3253.4,403.9,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1496,0.0000,0.0000,0.0000,0.0000,0.0000,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,3.9,800.000,0.000,6.1496,90.000,0.000,0.000,366.9,366.9,0.000,0.000,0.0000,0.000,0.000,0.000,616.2,616.2,0.000,0.000,0.0000,0.000,0.000,0.000,275.4,275.4,0.000,0.000,0.0000,0.000,0.000,0.000,3253.4,3253.4,0.000,0.000,0.0000,0.000,0.000,0.000,202.0,403.9,0.000,0.000,0.0000,0.000,0.000,0.000,
23,23,Centroids,38491,2402,"LINESTRING (-77.584346 38.947135, -77.600503 38.950677)",1.449130,0.900640,1.543955,56.315000,0.000000,3150.000000,0.000000,-1,,network_wide,-1,0,-1,-1,7.0,Centroids,56.3,3150.0,7.0,7.0,7.0,7.0,7.0,7.0,15.5,181.0,459.8,234.4,2271.6,80.4,15.5,181.0,459.8,234.4,2271.6,160.8,22050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1507,0.0000,0.0000,0.0000,0.0000,0.0000,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,15.5,22050.000,0.000,0.1507,1.544,0.000,0.000,181.0,181.0,0.000,0.000,0.0000,0.000,0.000,0.000,459.8,459.8,0.000,0.000,0.0000,0.000,0.000,0.000,234.4,234.4,0.000,0.000,0.0000,0.000,0.000,0.000,2271.6,2271.6,0.000,0.000,0.0000,0.000,0.000,0.000,80.4,160.8,0.000,0.000,0.0000,0.000,0.000,0.000,
24,24,Collector,38491,3724,"LINESTRING (-77.584346 38.947135, -77.580048 38.953013)",0.820763,0.510108,0.765162,64.360000,0.000000,800.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Collector,64.4,800.0,1.0,1.0,1.0,1.0,1.0,1.0,74.8,881.6,1139.4,601.8,4160.1,371.7,74.8,881.6,1139.4,601.8,4160.1,743.4,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5014,0.0000,0.0000,0.0000,0.0000,0.0000,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.8,74.8,800.000,0.000,9.5014,90.000,0.000,0.000,881.6,881.6,0.000,0.000,0.0000,0.000,0.000,0.000,1139.4,1139.4,0.000,0.000,0.0000,0.000,0.000,0.000,601.8,601.8,0.000,0.000,0.0000,0.000,0.000,0.000,4160.1,4160.1,0.000,0.000,0.0000,0.000,0.000,0.000,371.7,743.4,0.000,0.000,0.0000,0.000,0.000,0.000,
25,25,Collector,38491,38490,"LINESTRING (-77.584346 38.947135, -77.606145 38.937861)",2.478384,1.540325,2.310488,64.360000,0.000000,800.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Collector,64.4,800.0,1.0,1.0,1.0,1.0,1.0,1.0,59.0,1004.3,1319.7,532.1,6895.0,415.0,59.0,1004.3,1319.7,532.1,6895.0,830.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9900,0.0000,0.0000,0.0000,0.0000,0.0000,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,800.000,0.000,9.9900,90.000,0.000,0.000,1004.3,1004.3,0.000,0.000,0.0000,0.000,0.000,0.000,1319.7,1319.7,0.000,0.000,0.0000,0.000,0.000,0.000,532.1,532.1,0.000,0.000,0.0000,0.000,0.000,0.000,6895.0,6895.0,0.000,0.000,0.0000,0.000,0.000,0.000,415.0,830.0,0.000,0.000,0.0000,0.000,0.000,0.000,
26,26,Centroids,55001,2402,"LINESTRING (-77.611957 38.944155, -77.600503 38.950677)",1.256589,0.780975,1.338814,56.315000,0.000000,3150.000000,0.000000,-1,,network_wide,-1,0,-1,-1,7.0,Centroids,56.3,3150.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,91.6,142.8,61.3,529.1,43.0,0.0,91.6,142.8,61.3,529.1,86.1,22050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0413,0.0000,0.0000,0.0000,0.0000,0.0000,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22050.000,0.000,0.0413,1.339,0.000,0.000,91.6,91.6,0.000,0.000,0.0000,0.000,0.000,0.000,142.8,142.8,0.000,0.000,0.0000,0.000,0.000,0.000,61.3,61.3,0.000,0.000,0.0000,0.000,0.000,0.000,529.1,529.1,0.000,0.000,0.0000,0.000,0.000,0.000,43.0,86.1,0.000,0.000,0.0000,0.000,0.000,0.000,
27,27,Collector,55001,38112,"LINESTRING (-77.611957 38.944155, -77.622328 38.955522)",1.592522,0.989759,1.484639,64.360000,0.000000,800.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Collector,64.4,800.0,1.0,1.0,1.0,1.0,1.0,1.0,3.9,466.2,774.7,343.8,3806.6,247.0,3.9,466.2,774.7,343.8,3806.6,494.1,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3615,0.0000,0.0000,0.0000,0.0000,0.0000,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,3.9,800.000,0.000,7.3615,90.000,0.000,0.000,466.2,466.2,0.000,0.000,0.0000,0.000,0.000,0.000,774.7,774.7,0.000,0.000,0.0000,0.000,0.000,0.000,343.8,343.8,0.000,0.000,0.0000,0.000,0.000,0.000,3806.6,3806.6,0.000,0.000,0.0000,0.000,0.000,0.000,247.0,494.1,0.000,0.000,0.0000,0.000,0.000,0.000,
28,28,Collector,55001,38490,"LINESTRING (-77.611957 38.944155, -77.606145 38.937861)",0.885459,0.550316,0.825474,64.360000,0.000000,800.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Collector,64.4,800.0,1.0,1.0,1.0,1.0,1.0,1.0,9.5,348.9,423.5,248.0,1837.2,197.5,9.5,348.9,423.5,248.0,1837.2,395.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0775,0.0000,0.0000,0.0000,0.0000,0.0000,61.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,9.5,800.000,0.000,4.0775,61.412,0.000,0.000,348.9,348.9,0.000,0.000,0.0000,0.000,0.000,0.000,423.5,423.5,0.000,0.000,0.0000,0.000,0.000,0.000,248.0,248.0,0.000,0.000,0.0000,0.000,0.000,0.000,1837.2,1837.2,0.000,0.000,0.0000,0.000,0.000,0.000,197.5,395.0,0.000,0.000,0.0000,0.000,0.000,0.000,
