first_column,district_seq_id,scenario_name,demand_period,mode_type,od_volume,total_distance_km,total_distance_mile,total_travel_time_min,avg_distance_km,avg_distance_mile,avg_travel_time_in_min,zone_vector,geometry
0,0,scenario_pm,pm,apv,0,0,0,0,0,0,0,2400;2401;2402;3723;3724;3725;3726;,"POLYGON ((-77.6227 38.9691,-77.58 38.953,-77.5931 38.9162,-77.625 38.9318,-77.6341 38.9515,-77.6227 38.9691,))"
0,0,scenario_pm,pm,com,0,0,0,0,0,0,0,2400;2401;2402;3723;3724;3725;3726;,"POLYGON ((-77.6227 38.9691,-77.58 38.953,-77.5931 38.9162,-77.625 38.9318,-77.6341 38.9515,-77.6227 38.9691,))"
0,0,scenario_pm,pm,hov2,0,0,0,0,0,0,0,2400;2401;2402;3723;3724;3725;3726;,"POLYGON ((-77.6227 38.9691,-77.58 38.953,-77.5931 38.9162,-77.625 38.9318,-77.6341 38.9515,-77.6227 38.9691,))"
0,0,scenario_pm,pm,hov3,0,0,0,0,0,0,0,2400;2401;2402;3723;3724;3725;3726;,"POLYGON ((-77.6227 38.9691,-77.58 38.953,-77.5931 38.9162,-77.625 38.9318,-77.6341 38.9515,-77.6227 38.9691,))"
0,0,scenario_pm,pm,sov,0,0,0,0,0,0,0,2400;2401;2402;3723;3724;3725;3726;,"POLYGON ((-77.6227 38.9691,-77.58 38.953,-77.5931 38.9162,-77.625 38.9318,-77.6341 38.9515,-77.6227 38.9691,))"
0,0,scenario_pm,pm,trk,0,0,0,0,0,0,0,2400;2401;2402;3723;3724;3725;3726;,"POLYGON ((-77.6227 38.9691,-77.58 38.953,-77.5931 38.9162,-77.625 38.9318,-77.6341 38.9515,-77.6227 38.9691,))"
