link_seq_id,link_id,link_type,from_node_id,to_node_id,geometry,distance_km,distance_mile,fftt,meso_link_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,lanes_s0,link_type_s0,Vpm_scenario_pm_apv,Vpm_scenario_pm_com,Vpm_scenario_pm_hov2,Vpm_scenario_pm_hov3,Vpm_scenario_pm_sov,Vpm_scenario_pm_trk,VAB_pm_scenario_pm_apv,VAB_pm_scenario_pm_com,VAB_pm_scenario_pm_hov2,VAB_pm_scenario_pm_hov3,VAB_pm_scenario_pm_sov,VAB_pm_scenario_pm_trk,VBA_pm_scenario_pm_apv,VBA_pm_scenario_pm_com,VBA_pm_scenario_pm_hov2,VBA_pm_scenario_pm_hov3,VBA_pm_scenario_pm_sov,VBA_pm_scenario_pm_trk,MEUVABpmscenario_pmapv,capABpmscenario_pmapv,PENABpmscenario_pmapv,DOCABpmscenario_pmapv,TTABpm_scenario_pm_apv,MEUVABpmscenario_pmcom,capABpmscenario_pmcom,PENABpmscenario_pmcom,DOCABpmscenario_pmcom,TTABpm_scenario_pm_com,MEUVABpmscenario_pmhov2,capABpmscenario_pmhov2,PENABpmscenario_pmhov2,DOCABpmscenario_pmhov2,TTABpm_scenario_pm_hov2,MEUVABpmscenario_pmhov3,capABpmscenario_pmhov3,PENABpmscenario_pmhov3,DOCABpmscenario_pmhov3,TTABpm_scenario_pm_hov3,MEUVABpmscenario_pmsov,capABpmscenario_pmsov,PENABpmscenario_pmsov,DOCABpmscenario_pmsov,TTABpm_scenario_pm_sov,MEUVABpmscenario_pmtrk,capABpmscenario_pmtrk,PENABpmscenario_pmtrk,DOCABpmscenario_pmtrk,TTABpm_scenario_pm_trk,MEUVBApmscenario_pmapv,capBApmscenario_pmapv,PENBApmscenario_pmapv,DOCBApmscenario_pmapv,TTBApm_scenario_pm_apv,MEUVBApmscenario_pmcom,capBApmscenario_pmcom,PENBApmscenario_pmcom,DOCBApmscenario_pmcom,TTBApm_scenario_pm_com,MEUVBApmscenario_pmhov2,capBApmscenario_pmhov2,PENBApmscenario_pmhov2,DOCBApmscenario_pmhov2,TTBApm_scenario_pm_hov2,MEUVBApmscenario_pmhov3,capBApmscenario_pmhov3,PENBApmscenario_pmhov3,DOCBApmscenario_pmhov3,TTBApm_scenario_pm_hov3,MEUVBApmscenario_pmsov,capBApmscenario_pmsov,PENBApmscenario_pmsov,DOCBApmscenario_pmsov,TTBApm_scenario_pm_sov,MEUVBApmscenario_pmtrk,capBApmscenario_pmtrk,PENBApmscenario_pmtrk,DOCBApmscenario_pmtrk,TTBApm_scenario_pm_trk,
11,11,Minor Arterial,38112,38488,"LINESTRING (-77.622328 38.955522, -77.624237 38.936613)",2.108235,1.310277,1.511858,-1,,network_wide,-1,0,-1,-1,1.0,Minor Arterial,3.9,1304.8,820.8,247.2,4882.7,458.0,3.9,1304.8,820.8,247.2,4882.7,458.0,,,,,,,3.9,900.0,0.0,9.0839,90.000,1304.8,0.0,0.0,0.0000,0.000,820.8,0.0,0.0,0.0000,0.000,247.2,0.0,0.0,0.0000,0.000,4882.7,0.0,0.0,0.0000,0.000,916.1,0.0,0.0,0.0000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,Collector,38112,55001,"LINESTRING (-77.622328 38.955522, -77.611957 38.944155)",1.592522,0.989759,1.484639,-1,,network_wide,-1,0,-1,-1,1.0,Collector,8.1,440.5,566.3,309.2,2366.3,240.5,8.1,440.5,566.3,309.2,2366.3,240.5,,,,,,,8.1,800.0,0.0,5.2144,90.000,440.5,0.0,0.0,0.0000,0.000,566.3,0.0,0.0,0.0000,0.000,309.2,0.0,0.0,0.0000,0.000,2366.3,0.0,0.0,0.0000,0.000,481.0,0.0,0.0,0.0000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,Minor Arterial,38488,3723,"LINESTRING (-77.624237 38.936613, -77.625038 38.931782)",0.547176,0.340072,0.392391,-1,,network_wide,-1,0,-1,-1,1.0,Minor Arterial,38.6,2210.4,1760.2,501.3,10146.2,836.2,38.6,2210.4,1760.2,501.3,10146.2,836.2,,,,,,,38.6,900.0,0.0,9.9900,90.000,2210.4,0.0,0.0,0.0000,0.000,1760.2,0.0,0.0,0.0000,0.000,501.3,0.0,0.0,0.0000,0.000,10146.2,0.0,0.0,0.0000,0.000,1672.3,0.0,0.0,0.0000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,Minor Arterial,38488,38112,"LINESTRING (-77.624237 38.936613, -77.622328 38.955522)",2.108235,1.310277,1.511858,-1,,network_wide,-1,0,-1,-1,1.0,Minor Arterial,3.9,1158.4,821.9,387.2,5669.7,472.6,3.9,1158.4,821.9,387.2,5669.7,472.6,,,,,,,3.9,900.0,0.0,9.9847,90.000,1158.4,0.0,0.0,0.0000,0.000,821.9,0.0,0.0,0.0000,0.000,387.2,0.0,0.0,0.0000,0.000,5669.7,0.0,0.0,0.0000,0.000,945.1,0.0,0.0,0.0000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,Collector,38488,38489,"LINESTRING (-77.624237 38.936613, -77.607979 38.937693)",1.416219,0.880186,1.320279,-1,,network_wide,-1,0,-1,-1,1.0,Collector,35.3,776.3,834.5,464.0,3500.4,330.8,35.3,776.3,834.5,464.0,3500.4,330.8,,,,,,,35.3,800.0,0.0,7.8401,90.000,776.3,0.0,0.0,0.0000,0.000,834.5,0.0,0.0,0.0000,0.000,464.0,0.0,0.0,0.0000,0.000,3500.4,0.0,0.0,0.0000,0.000,661.5,0.0,0.0,0.0000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,Centroids,38489,2400,"LINESTRING (-77.607979 38.937693, -77.593115 38.916173)",2.719785,1.690357,2.897755,-1,,network_wide,-1,0,-1,-1,7.0,Centroids,20.5,261.2,672.3,357.8,3612.3,143.7,20.5,261.2,672.3,357.8,3612.3,143.7,,,,,,,20.5,22050.0,0.0,0.2363,2.897,261.2,0.0,0.0,0.0000,0.000,672.3,0.0,0.0,0.0000,0.000,357.8,0.0,0.0,0.0000,0.000,3612.3,0.0,0.0,0.0000,0.000,287.4,0.0,0.0,0.0000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,Collector,38489,38488,"LINESTRING (-77.607979 38.937693, -77.624237 38.936613)",1.416219,0.880186,1.320279,-1,,network_wide,-1,0,-1,-1,1.0,Collector,34.7,995.0,1127.4,347.5,5892.0,417.8,34.7,995.0,1127.4,347.5,5892.0,417.8,,,,,,,34.7,800.0,0.0,9.9900,90.000,995.0,0.0,0.0,0.0000,0.000,1127.4,0.0,0.0,0.0000,0.000,347.5,0.0,0.0,0.0000,0.000,5892.0,0.0,0.0,0.0000,0.000,835.7,0.0,0.0,0.0000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,Collector,38489,38490,"LINESTRING (-77.607979 38.937693, -77.606145 38.937861)",0.160934,0.100021,0.150032,-1,,network_wide,-1,0,-1,-1,1.0,Collector,55.8,863.6,1120.6,611.0,4305.2,361.0,55.8,863.6,1120.6,611.0,4305.2,361.0,,,,,,,55.8,800.0,0.0,9.5978,90.000,863.6,0.0,0.0,0.0000,0.000,1120.6,0.0,0.0,0.0000,0.000,611.0,0.0,0.0,0.0000,0.000,4305.2,0.0,0.0,0.0000,0.000,722.0,0.0,0.0,0.0000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,Collector,38490,3726,"LINESTRING (-77.606145 38.937861, -77.590441 38.930341)",1.609340,1.000211,1.500317,-1,,network_wide,-1,0,-1,-1,1.0,Collector,4.6,633.6,1104.6,593.6,4219.3,338.3,4.6,633.6,1104.6,593.6,4219.3,338.3,,,,,,,4.6,800.0,0.0,9.0404,90.000,633.6,0.0,0.0,0.0000,0.000,1104.6,0.0,0.0,0.0000,0.000,593.6,0.0,0.0,0.0000,0.000,4219.3,0.0,0.0,0.0000,0.000,676.6,0.0,0.0,0.0000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,Collector,38490,38489,"LINESTRING (-77.606145 38.937861, -77.607979 38.937693)",0.160934,0.100021,0.150032,-1,,network_wide,-1,0,-1,-1,1.0,Collector,55.2,1079.0,1441.4,546.5,8145.3,448.8,55.2,1079.0,1441.4,546.5,8145.3,448.8,,,,,,,55.2,800.0,0.0,9.9900,90.000,1079.0,0.0,0.0,0.0000,0.000,1441.4,0.0,0.0,0.0000,0.000,546.5,0.0,0.0,0.0000,0.000,8145.3,0.0,0.0,0.0000,0.000,897.7,0.0,0.0,0.0000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,Collector,38490,38491,"LINESTRING (-77.606145 38.937861, -77.584346 38.947135)",2.478384,1.540325,2.310488,-1,,network_wide,-1,0,-1,-1,1.0,Collector,60.6,799.5,1053.7,597.5,3902.8,336.2,60.6,799.5,1053.7,597.5,3902.8,336.2,,,,,,,60.6,800.0,0.0,8.8581,90.000,799.5,0.0,0.0,0.0000,0.000,1053.7,0.0,0.0,0.0000,0.000,597.5,0.0,0.0,0.0000,0.000,3902.8,0.0,0.0,0.0000,0.000,672.4,0.0,0.0,0.0000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,Collector,38490,55001,"LINESTRING (-77.606145 38.937861, -77.611957 38.944155)",0.885459,0.550316,0.825474,-1,,network_wide,-1,0,-1,-1,1.0,Collector,3.9,366.9,616.2,275.4,3253.4,202.0,3.9,366.9,616.2,275.4,3253.4,202.0,,,,,,,3.9,800.0,0.0,6.1496,90.000,366.9,0.0,0.0,0.0000,0.000,616.2,0.0,0.0,0.0000,0.000,275.4,0.0,0.0,0.0000,0.000,3253.4,0.0,0.0,0.0000,0.000,403.9,0.0,0.0,0.0000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,Centroids,38491,2402,"LINESTRING (-77.584346 38.947135, -77.600503 38.950677)",1.449130,0.900640,1.543955,-1,,network_wide,-1,0,-1,-1,7.0,Centroids,15.5,181.0,459.8,234.4,2271.6,80.4,15.5,181.0,459.8,234.4,2271.6,80.4,,,,,,,15.5,22050.0,0.0,0.1507,1.544,181.0,0.0,0.0,0.0000,0.000,459.8,0.0,0.0,0.0000,0.000,234.4,0.0,0.0,0.0000,0.000,2271.6,0.0,0.0,0.0000,0.000,160.8,0.0,0.0,0.0000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,Collector,38491,3724,"LINESTRING (-77.584346 38.947135, -77.580048 38.953013)",0.820763,0.510108,0.765162,-1,,network_wide,-1,0,-1,-1,1.0,Collector,74.8,881.6,1139.4,601.8,4160.1,371.7,74.8,881.6,1139.4,601.8,4160.1,371.7,,,,,,,74.8,800.0,0.0,9.5014,90.000,881.6,0.0,0.0,0.0000,0.000,1139.4,0.0,0.0,0.0000,0.000,601.8,0.0,0.0,0.0000,0.000,4160.1,0.0,0.0,0.0000,0.000,743.4,0.0,0.0,0.0000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,Collector,38491,38490,"LINESTRING (-77.584346 38.947135, -77.606145 38.937861)",2.478384,1.540325,2.310488,-1,,network_wide,-1,0,-1,-1,1.0,Collector,59.0,1004.3,1319.7,532.1,6895.0,415.0,59.0,1004.3,1319.7,532.1,6895.0,415.0,,,,,,,59.0,800.0,0.0,9.9900,90.000,1004.3,0.0,0.0,0.0000,0.000,1319.7,0.0,0.0,0.0000,0.000,532.1,0.0,0.0,0.0000,0.000,6895.0,0.0,0.0,0.0000,0.000,830.0,0.0,0.0,0.0000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,Centroids,55001,2402,"LINESTRING (-77.611957 38.944155, -77.600503 38.950677)",1.256589,0.780975,1.338814,-1,,network_wide,-1,0,-1,-1,7.0,Centroids,0.0,91.6,142.8,61.3,529.1,43.0,0.0,91.6,142.8,61.3,529.1,43.0,,,,,,,0.0,22050.0,0.0,0.0413,1.339,91.6,0.0,0.0,0.0000,0.000,142.8,0.0,0.0,0.0000,0.000,61.3,0.0,0.0,0.0000,0.000,529.1,0.0,0.0,0.0000,0.000,86.1,0.0,0.0,0.0000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,Collector,55001,38112,"LINESTRING (-77.611957 38.944155, -77.622328 38.955522)",1.592522,0.989759,1.484639,-1,,network_wide,-1,0,-1,-1,1.0,Collector,3.9,466.2,774.7,343.8,3806.6,247.0,3.9,466.2,774.7,343.8,3806.6,247.0,,,,,,,3.9,800.0,0.0,7.3615,90.000,466.2,0.0,0.0,0.0000,0.000,774.7,0.0,0.0,0.0000,0.000,343.8,0.0,0.0,0.0000,0.000,3806.6,0.0,0.0,0.0000,0.000,494.1,0.0,0.0,0.0000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,Collector,55001,38490,"LINESTRING (-77.611957 38.944155, -77.606145 38.937861)",0.885459,0.550316,0.825474,-1,,network_wide,-1,0,-1,-1,1.0,Collector,9.5,348.9,423.5,248.0,1837.2,197.5,9.5,348.9,423.5,248.0,1837.2,197.5,,,,,,,9.5,800.0,0.0,4.0775,61.412,348.9,0.0,0.0,0.0000,0.000,423.5,0.0,0.0,0.0000,0.000,248.0,0.0,0.0,0.0000,0.000,1837.2,0.0,0.0,0.0000,0.000,395.0,0.0,0.0,0.0000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,
