o_zone_id,d_zone_id,volume
2400,2400,54.55
2400,2401,0.33
2400,2402,3.04
2400,3723,10.33
2400,3724,23.25
2400,3725,6.56
2400,3726,25.62
2401,2400,0.35
2401,2401,1.39
2401,2402,0.78
2401,3723,1.65
2401,3724,2.13
2401,3725,2.09
2401,3726,1.99
2402,2400,2.79
2402,2401,0.75
2402,2402,37.25
2402,3723,5.04
2402,3724,31.94
2402,3725,5.74
2402,3726,12.01
3723,2400,4.46
3723,2401,1.02
3723,2402,3.2
3723,3724,78.65
3723,3725,36.86
3723,3726,4.94
3724,2400,15.0
3724,2401,1.35
3724,2402,18.71
3724,3723,40.69
3724,3726,13.18
3725,2400,10.36
3725,2401,1.99
3725,2402,10.22
3725,3723,70.29
3725,3726,73.11
3726,2400,18.12
3726,2401,1.5
3726,2402,13.81
3726,3723,25.25
3726,3724,5.6
3726,3725,26.06
o_zone_id,d_zone_id,volume
2400,2400,54.55
2400,2401,0.33
2400,2402,3.04
2400,3723,10.33
2400,3724,23.25
2400,3725,6.56
2400,3726,25.62
2401,2400,0.35
2401,2401,1.39
2401,2402,0.78
2401,3723,1.65
2401,3724,2.13
2401,3725,2.09
2401,3726,1.99
2402,2400,2.79
2402,2401,0.75
2402,2402,37.25
2402,3723,5.04
2402,3724,31.94
2402,3725,5.74
2402,3726,12.01
3723,2400,4.46
3723,2401,1.02
3723,2402,3.2
3723,3724,78.65
3723,3725,36.86
3723,3726,4.94
3724,2400,15.0
3724,2401,1.35
3724,2402,18.71
3724,3723,40.69
3724,3726,13.18
3725,2400,10.36
3725,2401,1.99
3725,2402,10.22
3725,3723,70.29
3725,3726,73.11
3726,2400,18.12
3726,2401,1.5
3726,2402,13.81
3726,3723,25.25
3726,3724,5.6
3726,3725,26.06
o_zone_id,d_zone_id,volume
2400,2400,54.55
2400,2401,0.33
2400,2402,3.04
2400,3723,10.33
2400,3724,23.25
2400,3725,6.56
2400,3726,25.62
2401,2400,0.35
2401,2401,1.39
2401,2402,0.78
2401,3723,1.65
2401,3724,2.13
2401,3725,2.09
2401,3726,1.99
2402,2400,2.79
2402,2401,0.75
2402,2402,37.25
2402,3723,5.04
2402,3724,31.94
2402,3725,5.74
2402,3726,12.01
3723,2400,4.46
3723,2401,1.02
3723,2402,3.2
3723,3724,78.65
3723,3725,36.86
3723,3726,4.94
3724,2400,15.0
3724,2401,1.35
3724,2402,18.71
3724,3723,40.69
3724,3726,13.18
3725,2400,10.36
3725,2401,1.99
3725,2402,10.22
3725,3723,70.29
3725,3726,73.11
3726,2400,18.12
3726,2401,1.5
3726,2402,13.81
3726,3723,25.25
3726,3724,5.6
3726,3725,26.06
o_zone_id,d_zone_id,volume
2400,2400,54.55
2400,2401,0.33
2400,2402,3.04
2400,3723,10.33
2400,3724,23.25
2400,3725,6.56
2400,3726,25.62
2401,2400,0.35
2401,2401,1.39
2401,2402,0.78
2401,3723,1.65
2401,3724,2.13
2401,3725,2.09
2401,3726,1.99
2402,2400,2.79
2402,2401,0.75
2402,2402,37.25
2402,3723,5.04
2402,3724,31.94
2402,3725,5.74
2402,3726,12.01
3723,2400,4.46
3723,2401,1.02
3723,2402,3.2
3723,3724,78.65
3723,3725,36.86
3723,3726,4.94
3724,2400,15.0
3724,2401,1.35
3724,2402,18.71
3724,3723,40.69
3724,3726,13.18
3725,2400,10.36
3725,2401,1.99
3725,2402,10.22
3725,3723,70.29
3725,3726,73.11
3726,2400,18.12
3726,2401,1.5
3726,2402,13.81
3726,3723,25.25
3726,3724,5.6
3726,3725,26.06
